Cím,YouTube link,Közzététel dátuma,Leírás,Összefoglaló
Kinek épülne a Mini Dubaj?; Tusk: “Orbán Putyin csapatában játszik” | Önkényes Mérvadó #983,https://www.youtube.com/watch?v=HCND_jzdmHw,2025-01-29T08:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Kinek épülne a Mini Dubaj?;
37:33 Tusk: “Orbán Putyin csapatában játszik”

Műsorvezetők: Puzsér Róbert, Boros Tamás, Borsi Bálint
Szerkesztő: Rónyai Júlia
Felvétel: 2025.01.28.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",**Összefoglaló**  Magyarország az eredeti tervek szerint vétózni akart az Oroszország elleni szankciók meghosszabbítása ellen  azonban az Európai Bizottság ígéretet tett Magyarország energiaellátásának biztonságára  így Magyarország megszavazta a szankciók meghosszabbítását.  A szankciók meghosszabbításáról szóló vita az Egyesült Államok húzta az időt  Orbánt azzal vádolva  hogy Putyin oldalán áll a háborúban  mire Magyarország biztosítékot kért Ukrajnától az energiaellátás fenntartására.  A Magyarországgal kötött megállapodás szerint az Európai Bizottság elkötelezte magát a földgáz- és kőolajvezetékek védelme mellett  és Ukrajnától is biztosítékot kért a kőolajszállítások fenntartására.  A Fidesz ehelyett a hazai energiabiztonságra összpontosított  mondván  nem hajlandóak tovább fizetni mások háborújának árát.  Donald Trump korábbi amerikai elnök támogatásával Magyarország megerősödött nemzetközi pozícióra tett szert  azonban Trump multilaterális világellenes politikája veszélybe sodorhatja Magyarország uniós kapcsolatát.  Kína hatalma növekszik  ami aggodalomra ad okot Magyarország és az Egyesült Államok számára egyaránt.  Habár az ukrán háborúról még nem született béke  Oroszország már veszteségeket szenvedett  míg Ukrajna még nem hajlandó lemondani Kelet-Ukrajna egyes részeiről.
Trump woke- és migránsellenes intézkedése; ellehetetleníti a transzneműeket? | Önkényes Mérvadó #982,https://www.youtube.com/watch?v=sKc6Cb85V6s,2025-01-26T15:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Trump woke- és migránsellenes intézkedései
59:07 Nemekre vonatkozó rendelkezés

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Egri Viktor
Szerkesztő: Rónyai Júlia
Felvétel: 2025.01.24.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/","Az altright és a trumpi Amerika összeomlására vonatkozóan: - A v-kultúrát le kell mosni a szennyvízcsatornán. - Trump országos vészhelyzetet hirdetett az amerikai-mexikói határon. - Trump kilépett a párizsi klímaegyezményből  és elindította az Egészségügyi Világszervezetből való kilépési folyamatot. - Trump minden liberális világszerte félelmet keltett  és teljes bénultságot okozott a liberális térfélen. - Orbánt a magyar alkotmány egy túlterhelt rendszer okozta csalásnak tekinti  míg Trump szerint a választási csalás egy hazugság  amely egy egész nemzetet oszt meg. - A trumpi Amerika egy Ronald Reagan által vízionált ország újragondolása inkább  mintsem Obama államától való visszalépés. - Trump elődjeivel ellentétben újra az egyesült államok elnöke lett  annak ellenére  hogy mindenki biztosra vette  hogy elveszíti a választást. - A demokraták nem tudták  hogyan kezeljék ezt a váratlan helyzetet  ami azt eredményezte  hogy egy megosztott és zavaros párt lett belőlük. - A trumpizmus és a hagyományos konzervativizmus közötti különbség az  hogy az utóbbi a demokratákkal együtt alkották a liberális konszenzust  míg a trumpizmus ezt a konszenzust elutasítja. - Trump ezt a liberális konszenzust támadja meg ugyanúgy  ahogy a v-kultúra teszi ezt is  és a támadások főként az illegális bevándorlásra és a homofóbiára összpontosítanak. - Trump nem fogja eltüntetni a migrációt  ahogyan a liberálisok sem fogják eltávolítani a v-kultúrát. - Ahogyan a magyarországi rendszerépítés 2010-ben Orbán hatalomátvételéhez vezetett  úgy Trump hatalomátvétele 2024-ben az altright győzelméhez vezethet. - Trumpnak hasonló módon kell megsemmisülnie  mint a v-kultúrának  mivel ha ezt a két erőt nem állítják meg  az teljes körű pusztuláshoz vezethet. - Trump ellen két merénylet történt  amely hozzájárult megválasztásához  mert az amerikaiak úgy érezték  hogy bármi áron meg kell akadályozni  hogy Trump megváltoztassa az országot. - Trump második ciklusa sokkal nagyobb felhatalmazással és legitimitással rendelkezik  ami további merényletekhez vezethet. - Trump hatalomra jutását a techszektor és a vagyonos elit támogatta  akik saját gazdasági érdekeikből kifolyólag támogatták őt. - A két merénylet elkövetői nem voltak liberálisok  ami azt jelzi  hogy ezek a merényletek a trumpizmus csalódott híveinek tettei voltak. - Trump folyamatosan növeli a feszültséget a bevándorlás kérdésével kapcsolatban  ami hosszú távon súlyos ártalmat okozhat az Egyesült Államoknak. - Trump támogatói szerint a demokrácia és a alkotmány most már nem érvényes  mivel Trump a ""háttérhatalmat"" előtérbe hozta. - Trump aláássa az amerikai alkotmányt azzal  hogy elnöki rendelettel akarja megváltoztatni a születés alapján járó állampolgárságot  és ez a lépés veszélyezteti a demokráciát. - A transzneműek nem alkotnak harmadik nemet  hanem nemi zavarban szenvednek  és a transzneműség politikává változtatása súlyos következményekkel jár. - Az altright és a transzneműek közötti hasonlóság az  hogy mindkét csoportot a liberálisok túlzott toleranciája bátorította fel  és mindkét csoport meghamisítja a valóságot. - Trump megpróbálja elrejteni a transzneműség problémáját azáltal  hogy a transzneműeket visszaszorítja a férfi és női kategóriákba  de ez nem oldja meg a problémát  és újabb feszültségeket teremt."
Biró Ferenc tüske Rogán körme alatt; Majka helyezkedik?; Igazság vs. mítosz | Önkényes Mérvadó #981,https://www.youtube.com/watch?v=vTcQPcCHNAY,2025-01-23T17:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Biró Ferenc tüske lett Rogán körme alatt: megkezdődött a nyilvános lejáratás
30:47 Változik a széljárás, Majka fordított a köpönyegén
56:45 Mi a fontosabb: az igazság vagy a mítosz?

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Kovács 4 Zoli
Szerkesztő: Czifrus Réka
Felvétel: 2025.01.21.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",A szöveg arról értekezik  hogy a történelmi mítoszok fontosabbak lehetnek  mint a történelmi tények  mert az előbbiek az értékeket és a helyes viselkedést tanítják. A tények önmagukban nem elegendőek a helyes cselekvéshez  míg a mítoszok (amelyek gyakran legendákat és történeteket tartalmaznak) segítik a helyes értékek és viselkedésmódok megértését és átadását.  A mítoszok és a valóság eredetileg eltérhetnek  de a mítoszok idővel igazsággá válnak  mert elfogadják és továbbítják őket az emberek. A mítoszok képesek befolyásolni az embereket  és akár társadalmi normákat is létrehozhatnak. A mítoszok tehát fontosak az egyéni és társadalmi identitás  valamint a helyes viselkedés alakítása szempontjából.
Orosz frontkatonák között; A fekete kert; Államcsíny zenei aláfestéssel | Önkényes Mérvadó #980,https://www.youtube.com/watch?v=g98rr4CRbvM,2025-01-22T15:00:06Z,"https://bidf.hu/ - Itt találod a Budapesti Nemzetközi Dokumentumfilm Fesztivál vetítési időpontjait, helyszíneit, és a filmek listáját.

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Orosz frontkatonák között
30:47 A fekete kert
55:54 Államcsíny zenei aláfestéssel

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Farkas Attila Márton
Szerkesztő: Czifrus Réka
Felvétel: 2025.01.21.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",**Orosz frontkatonák között:**  * Dokumentumfilm Anasztázia Tropimova orosz-kanadai fiatalfilmrendezőtől. * A fronton küzdő orosz katonák életét és történeteit mutatja be. * A film az orosz hadseregben uralkodó fegyelmezetlenségről  korrupcióról és embertelenségről szól.  **Fekete kert:**  * Örmény falusiak történetét mutatja be  akik háborús zónában élnek. * A film a háború hatását az örmények életére  otthonaikra és kultúrájukra vizsgálja.  **Államcsíny zenei aláfestéssel:**  * Kongó függetlenségének történetét meséli el  kiemelten kezelve az Egyesült Államok és más nyugati hatalmak szerepét. * A film a jazz zenészeket mutatja be  akiket a CIA felhasznál a kongói uralom védelmére.  **Hozzászólások:**  * A filmek megrendítő képet festenek a konfliktusok és háborúk okozta szenvedésekről. * Szó esik a katonaság fegyelmezetlenségéről  a hatalom korrupciójáról és a háború pusztításáról. * A filmek kiemelik a nyugati hatalmak szerepét a konfliktusokban  és a jazz zenészek felhasználását az amerikai érdekek előmozdítására.
Magyar Péter az új Károlyi Mihály?; Orbán nem megy Trump beiktatására - Önkényes Mérvadó #979,https://www.youtube.com/watch?v=-dJf34bxILw,2025-01-21T15:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Magyar Péter az új Károlyi Mihály?
44:58 Orbán nem megy Trump beiktatására

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Csunderlik Péter
Szerkesztő: Rónyai Júlia
Felvétel: 2025.01.17.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",* Kormányközeli média: orbánviktori propaganda; magyar kormánypropaganda * Független sajtó: nyugati hírek; külügyminisztériumi sajtóközlemény * Egyéb források: Heti Válasz; Magyar Nemzet; Index; Politico; Foreign Policy; V4NA; Szabadeurópa.hu
Magyar-Gulyás csörte; Leáll a tényellenőrzéssel a Meta; Meghalt David Lynch | Önkényes Mérvadó #978,https://www.youtube.com/watch?v=BGIXR7xf8R8,2025-01-20T07:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Magyar-Gulyás csörte
34:06 Leáll a tényellenőrzéssel a Meta
1:00:12 Meghalt David Lynch

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Boros Tamás
Szerkesztő: Czifrus Réka
Felvétel: 2025.01.17.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/","A szöveg a következő témákat tárgyalja:  * Orbán Viktor és Gulyás Gergely konfliktusa * A Fidesz kettős beszéde a korrupcióról * Mark Zuckerberg a Facebookon bevezetett változásokról * David Lynch filmjeinek értelmezése és hatása  **Orbán Viktor és Gulyás Gergely konfliktusa**  * Gulyás Gergely ""árulónak"" nevezte Magyar Pétert  aki a miniszterelnök személyes tisztességét kérdőjelezte meg. * Magyar Péter azzal vádolta a minisztert  hogy keresztény ember létére elárulja a gyerekeket. * A konfliktus középpontjában a Fidesz korrupciós ügyekkel kapcsolatos álláspontja áll. * Magyar Péter szerint Gulyás asszisztál a közpénzek ellopásához  míg a kormány szerint ártatlanok és az ország jövőképét védik.  **A Fidesz kettős beszéde a korrupcióról**  * A Fidesz a korrupció elleni harcot hirdeti  de a szöveg kiemeli  hogy a párt számos korrupciós botrányba keveredett. * A szerző szerint a Fidesz megpróbálja eloszlatni a közpénzek feletti ellenőrzésükkel kapcsolatos aggályokat azzal  hogy az ellenzéket korrupcióval vádolják. * A szöveg azt is kiemeli  hogy a Fidesz-kormány a korrupciót csökkentő intézkedések bevezetésével ellentétes intézkedéseket hozott.  **Mark Zuckerberg a Facebookon bevezetett változásokról**  * A Facebook megszünteti a diverzitás  egyenlőség és befogadás (DEI) programját. * Zuckerberg szerint a DEI kifejezés negatív értelmet kapott  és a programok bizonyos csoportokat részesítenek előnyben másokkal szemben. * A szerző szerint Zuckerberg lépése a DEI iránti elkötelezettségének hiányát tükrözi  és összefügg Donald Trump hatalomra jutásával. * A szerző azt is kiemeli  hogy a Facebook a tényellenőrzési programját is megszünteti  ami azt sugallja  hogy Zuckerberg nem hisz a tényellenőrzésben.  **David Lynch filmjeinek értelmezése és hatása**  * David Lynch filmjei kaotikus és zavaros világképeket fejeznek ki. * A szöveg kiemeli Lynch hatását a filmnyelvre  különösen az álomszerű képalkotásra és a szürrealizmus használatára. * A szerző szerint Lynch filmjeinek nincsenek egyértelmű megfejtései  és a szorongás és félelem kiváltására törekszik  hogy elvezesse a nézőket a transzcendenciába. * A szöveg megjegyzi  hogy Lynch a transzcendentális meditáció gyakorlója volt  és filmjeiben a zavarosság és a harmónia közötti finom egyensúly jelenik meg."
Véget érhet a gázai konfliktus?; Működni fog-e a “magyarpéterség” ‘26 után? | Önkényes Mérvadó #977,https://www.youtube.com/watch?v=ip9xZrcv8ek,2025-01-17T18:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Tűzszüneti megállapodást kötött Izrael és a Hamász
28:57 Magyar Péter marad EP képviselő; Működni fog-e a “magyarpéterség” ‘26 után?

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Béndek Ábris
Szerkesztő: Czifrus Réka
Felvétel: 2025.01.16.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",Izrael  a 20. század emlékezete vagy zárványa  ami a 20. században a Nyugat volt:  * erős és érvényes ellenzéki narratívák * a Fidesz kulturális jegyei  Ez a robbanókeverék létrehozta a magyar péterséget  amely jelenleg működik.  Magyarország a Fidesz zsarnoksága alatt áll  amely a következőkre épít:  * Orbán Viktor és rendszere mindent feltett egy lapra. * Az ellenzék vádjai a kormány korrupciójáról kultúrharcnak minősülnek.  Magyarország a közelmúltban a következő folyamatokat élte át:  * A Hamasz és Izrael közötti háború befejeződött. * Az ellenzék a tüntetéseken folytatja a kormány elleni küzdelmet.  Nyugaton a következő változások zajlanak:  * A nyugati nemzetek befolyása csökken. * A politikai napotenciál Kelet felé tolódik el. * Európa a biztonsági aggodalmaira koncentrál  nem az ukrajnai konfliktusra.  Az izraeli-hamaszi háború két fontos tanulságot hagyott maga után:  * Izrael a közel-keleti válság utolsó reménye. * Az iszlamista szervezetek  mint például a Hamasz  nem legyőzhetetlenek.  Ebből az összefoglaló szövegből a következőket nevezhetjük ki főbb pontoknak:  * A magyar péterség a Fidesz kulturális jegyeivel párosult ellenzéki narratívák eredménye. * A Fidesz rendszere autokratikus  amely az ellenzéket elhallgattatja és a korrupciót elrejti. * A magyar ellenzék folytatja a küzdelmet a tüntetéseken. * Izrael a közel-keleti konfliktusban a nyugati értékek utolsó védvonala. * A nyugati befolyás csökken  miközben a biztonsági aggodalmaik Kelet felé tolódnak.
Orbán Indiában; Trump annektálná Kanadát és Grönlandot; Haszontalan shortok | Önkényes Mérvadó #976,https://www.youtube.com/watch?v=kpRlECs3Nhs,2025-01-15T17:00:06Z,"""Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Orbán Indiában nyaral
21:11 Trump annektálná Kanadát és Grönlandot
45:28 Lifehack short videók nem létező problémákra

Műsorvezetők: Puzsér Róbert, Horváth Oszkár
Szerkesztő: Czifrus Réka
Felvétel: 2025.01.10.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/""","A videó kiemeli  hogy a ""mélyreható figyelemzavar"" és az ""adhd-ba torkolló"" tartalomfogyasztás elterjedőben van. A gyorsan váltó  rövid formátumú tartalmak  mint a TikTok és Instagram Shorts  negatívan befolyásolják a figyelemfelkeltést és a hosszabb idejű tartalmak  például filmek élvezetét akadályozzák meg. A folyamatosan változó ingerlések és a hasznosnak látszó  de valójában nem hasznos tartalmak gyártása az önbecsülés érzetét is negatívan befolyásolja  mivel az emberek olyan fiktív problémákra keresnek megoldásokat  amelyek valójában nem léteznek. Ezek a tartalmak a kreativitás illúzióját keltik  de valójában csökkentik a tényleges termelékenységet  mivel az emberek időt és erőfeszítést pazarolnak lényegtelen dolgokra."
Szankciók Rogán ellen; Bayer nekiment Fábrynak | Önkényes Mérvadó #975,https://www.youtube.com/watch?v=6BygnjTbd0E,2025-01-13T17:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Magyar Dávid 
Szerkesztő: Rónyai Júlia  
Felvétel: 2025.01.10.

YouTube: https://www.youtube.com/@szelsokozepprodukcio 
Facebook: https://www.facebook.com/onkenyes 
Web: https://onkenyes.hu/",A szöveg a következő főbb pontookat emeli ki:  * Az Egyesült Államok szankciókat vezetett be Rogán Antal ellen  ami miatt a magyar kormány heves kritikával illette Washington politikáját. * A szankciókat kiváltó állítólagos korrupciós ügyek mögött valójában amerikai politikai indíttatás húzódik  hiszen Orbánt és nem Rogánt könnyebb lenne eltávolítani. * Az amerikai demokrata kormányzati kurzusnak nem volt komolyan prioritása  hogy a magyar kormányt korrupcióval vádolja. Csak a Trump-adminisztráció végén vált ez fontossá  amikor a demokraták már leváltásukkal szembenéztek. * A szankciók érvényben maradása attól függhet  hogy a következő magyar kormány milyen kapcsolatot alakít ki az Egyesült Államokkal. * Fábri Sándor humorista és műsorvezető nyilvánosan bírálta a magyar kulturális kormányzatot és a közmédiát. * Bayer Zsolt publicista élesen bírálta Fábri szavait  aki szerinte pénzéhes és művészi minősége is romlott. * Fábri válaszában kijelentette  hogy nem törte meg a közmédia etikáját  és visszautasította Bayer vádjait. * A szöveg szerint Fábri a rendszerrel kötött alkut most megbánta volna  de ez nem mondható ki  mert már fizette az árát.
Létezés és nemlétezés szomja; Halálfélelem | Önkényes Mérvadó #974,https://www.youtube.com/watch?v=8jfCazvfo1c,2025-01-05T17:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Létezés és nemlétezés szomja
Rácsodálkozás az élet értékeire, szembenézés az élet végességével

Műsorvezetők: Horváth Oszkár, Nagy Gergely, Béndek Ábris
Szerkesztő: Czifrus Réka
Felvétel: 2024.09.27.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",A haláltól való félelem az emberi lét egyik legősibb és legmélyebb érzése. Több kultúrában jelenik meg irodalmi és művészi alkotásokban. A legtöbbször a véges létezés és a halál utáni bizonytalanság gondolata riasztja az embereket. Sokan félnek attól  hogy a halál elragadja őket szeretteiktől  míg mások a szenvedéstől vagy a megszűnéstől tartanak. A félelem különböző életszakaszokban felerősödhet  például betegségek vagy veszteségek idején. Az élet értelmének és céljának keresése is hozzájárulhat a halálfélemhez  hiszen a halál jelenti a földi élet végpontját. Ugyanakkor a halált meg lehet tekinteni a teljes lét egyik szakaszaként is  amelyben a földi élet tanulási és fejlődési folyamatának eredményeképpen a lélek másik szintre lép.
"Mi a félelem, mitől félünk?; Hogyan születik a türelem? | Önkényes Mérvadó #973",https://www.youtube.com/watch?v=pMeGAkgNiuw,2025-01-02T17:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Mi a félelem?; Elfojtás; Félelemből cselekvés; Fuss vagy küzdj!
Tipikus fóbiák, mint félelmek forrásai
Mi a türelem, mikor voltál türelmes?

Műsorvezetők: Horváth Oszkár, Magyar Dávid
Szerkesztő: Czifrus Réka
Felvétel: 2024.10.04.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",**Féltelem és türelem**  **Féltelem**  * Az életfenntartásunk alapvető szükséglete  amely a veszélyhelyzetekre adott válaszreakció * A félelem különböző formái: fizikai veszélyek (ragadozók  wypadok)  társadalmi helyzetek (megaláztatás  elutasítás) és saját érzelmeink (magány  szorongás) * A félelem fizikai tünetei: gyors szívverés  izzadás  remegés  izomfeszültség * A félelem pszichés tünetei: szorongás  pánik  fóbiák  nyugtalanság * A félelemnek fontos evolúciós szerepe van  véd minket a veszélyektől * A félelem azonban akkor is fennállhat  amikor nincsenek valódi veszélyek  ezt nevezik irracionális félelemnek * Az irracionális félelmek legyőzéséhez különböző technikák alkalmazhatóak  például a fokozatos szembenézés  a kognitív viselkedésterápia és a mindfulness meditáció  **Türelem**  * A késlekedések és a nehézségek nyugodt elviselésének képessége * A belső kontrollérzettel és az empátiával összefügg * A türelem a türelmetlenség  a harag és a frusztráció ellentéte * A türelemhez vezető pillanatokban lehetőségünk van önuralmunk fejlesztésére * A türelemnek különösen fontos szerepe van a társas kapcsolatokban * A türelmetlenség gyakran a szégyenérzetből fakad  amely eltorzíthatja a félelemérzetet * A szégyenérzet leküzdésével a félelemérzet is csökkenthető * A türelem fejlesztésének módjai közé tartoznak a mindfulness  a hálaterápia és a szociális interakciók
